Module,Function,Haskell,Gallina,Proofs
Core,evaldUnfolding,3,,
Core,exnDmdType,,2,
Core,exnRes,,2,
Core,exnSig,,2,
Core,expandSynTyCon_maybe,,14,
Core,expandTypeSynonyms,73,,
Core,expandUnfolding_maybe,3,2,
Core,exprToCoercion_maybe,3,2,
Core,exprToType,3,,
Core,extendCvSubst,3,,
Core,extendCvSubstWithClone,7,,
Core,extendDVarEnv,2,2,
Core,extendDVarEnvList,2,3,
Core,extendDVarEnv_C,2,3,
Core,extendDVarSet,2,2,
Core,extendDVarSetList,2,2,
Core,extendInScopeSet,3,5,
Core,extendInScopeSetList,4,8,
Core,extendInScopeSetSet,3,6,
Core,extendLiftingContext,7,,
Core,extendLiftingContextEx,10,,
Core,extendTCvInScope,3,,
Core,extendTCvInScopeList,3,,
Core,extendTCvInScopeSet,3,,
Core,extendTCvSubst,8,,
Core,extendTvSubst,3,,
Core,extendTvSubstAndInScope,5,,
Core,extendTvSubstBinderAndInScope,5,,
Core,extendTvSubstList,3,,
Core,extendTvSubstWithClone,7,,
Core,extendVarEnv,1,2,
Core,extendVarEnvList,1,2,
Core,extendVarEnv_Acc,1,3,
Core,extendVarEnv_C,1,3,
Core,extendVarEnv_Directly,1,3,
Core,extendVarSet,2,2,
Core,extendVarSetList,,2,
Core,f,17,,
Core,famTcFlav,,22,
Core,famTcInj,,22,
Core,famTcParent,,22,
Core,famTcResVar,,22,
Core,famTyConFlav_maybe,3,6,
Core,fieldsOfAlgTcRhs,5,7,
Core,filterDVarEnv,2,2,
Core,filterDVarSet,2,2,
Core,filterEqSpec,109,7,
Core,filterOutInvisibleTypes,2,,
Core,filterVarEnv,1,2,
Core,filterVarEnv_Directly,1,3,
Core,filterVarSet,1,2,
Core,findIdDemand,81,5,
Core,fixVarSet,7,7,
Core,flattenBinds,4,7,
Core,foldDVarEnv,2,2,
Core,foldDVarSet,2,2,
Core,freshNames,13,,
Core,funArgTy,4,,
Core,funResultTy,4,,
Core,g,51,,
Core,getCastedTyVar_maybe,6,,
Core,getClassPredTys,4,,
Core,getClassPredTys_maybe,4,,
Core,getCoVar_maybe,3,,
Core,getCvSubstEnv,2,,
Core,getEqPredRole,2,,
Core,getEqPredTys,8,,
Core,getEqPredTys_maybe,7,,
Core,getHelpfulOccName,10,,
Core,getInScopeVars,2,2,
Core,getRuntimeRep,5,,
Core,getRuntimeRepFromKind,7,,
Core,getRuntimeRepFromKind_maybe,10,,
Core,getRuntimeRep_maybe,3,,
Core,getStrDmd,2,2,
Core,getTCvInScope,2,,
Core,getTCvSubstRangeFVs,6,,
Core,getTvSubstEnv,2,,
Core,getTyVar,4,,
Core,getTyVar_maybe,3,,
Core,getUseDmd,4,2,
Core,globaliseId,2,5,
Core,hasDemandEnvSig,2,2,
Core,hasSomeUnfolding,4,2,
Core,idDetails,3,2,
Core,idInfo,3,2,
Core,idScope,,3,
Core,id_details,,3,
Core,inRnEnvL,3,5,
Core,inRnEnvR,,5,
Core,in_scope,,46,
Core,increaseStrictSigArity,3,7,
Core,initRecTc,2,2,
Core,injectiveVarsOfBinder,7,,
Core,injectiveVarsOfType,18,,
Core,inlinePragInfo,,3,
Core,instCoercion,13,,
Core,instCoercions,10,,
Core,instNewTyCon_maybe,15,,
Core,intersectDVarSet,2,2,
Core,intersectVarSet,1,2,
Core,intersectsDVarSet,2,2,
Core,intersectsVarEnv,1,2,
Core,intersectsVarSet,,2,
Core,isAbsDmd,3,2,
Core,isAbstractClass,12,6,
Core,isAbstractTyCon,3,6,
Core,isAlgTyCon,3,6,
Core,isAlgType,6,,
Core,isAnonTyBinder,3,,
Core,isAutoRule,3,6,
Core,isBanged,4,7,
Core,isBootUnfolding,3,2,
Core,isBotRes,4,7,
Core,isBottomingSig,2,2,
Core,isBoxedTupleTyCon,5,10,
Core,isBuiltInSynFamTyCon_maybe,4,6,
Core,isBuiltinRule,3,6,
Core,isCTupleClass,2,,
Core,isCheapUnfolding,3,2,
Core,isClassPred,14,,
Core,isClassTyCon,3,6,
Core,isClosedSynFamilyTyConWithAxiom_maybe,4,,
Core,isCoVar,3,2,
Core,isCoVarDetails,3,2,
Core,isCoVar_maybe,3,,
Core,isCoercionTy,3,,
